date,price
700,2060
703,2055
704,2075
705,2090
706,2080
707,2065
710,2065
711,2090
712,2095
713,2190
714,2205
717,2310
718,2285
719,2245
720,2255
721,2255
724,2380
725,2365
726,2415
727,2395
728,2430
731,2450
732,2445
733,2425
734,2490
735,2555
738,2560
739,2610
740,2640
741,2630
742,2480
745,2530
746,2520
748,2560
749,2500
752,2350
753,2350
754,2360
755,2360
756,2340
759,2400
760,2430
761,2360
762,2380
763,2390
766,2445
767,2450
768,2465
769,2460
770,2445
773,2455
774,2480
775,2480
776,2425
777,2475
780,2465
781,2570
782,2605
783,2565
784,2525
787,2540
788,2525
789,2465
790,2450
791,2465
795,2490
796,2445
797,2470
798,2385
801,2310
802,2310
803,2375
804,2375
805,2400
808,2390
809,2350
810,2335
811,2320
812,2095
815,2235
816,2240
817,2275
818,2275
819,2420
822,2450
823,2375
824,2365
825,2360
829,2295
830,2330
831,2305
832,2325
833,2295
836,2200
837,2200
838,2215
839,2105
840,2065
843,2060
844,2085
845,2160
846,2125
847,2145
850,2230
851,2230
852,2190
853,2140
854,2150
857,2220
858,2170
859,2130
860,2145
861,2160
864,2160
865,2140
866,2220
867,2340
868,2365
871,2385
872,2385
873,2440
874,2475
875,2410
878,2465
879,2445
880,2440
881,2440
882,2430
885,2395
886,2300
887,2320
888,2310
889,2345
892,2340
893,2335
894,2300
895,2315
896,2355
899,2330
900,2340
901,2295
902,2290
903,2315
906,2410
907,2430
908,2395
913,2410
914,2340
915,2325
916,2380
917,2400
920,2355
921,2365
922,2355
923,2365
924,2450
927,2430
928,2565
929,2610
930,2625
931,2770
934,2790
935,2805
936,2755
937,2745
938,2700
941,2670
942,2760
943,2820
944,2760
945,2690
948,2655
949,2680
950,2700
951,2705
952,2735
963,2785
964,2790
965,2725
969,2720
970,2690
971,2680
972,2645
973,2740
976,2780
977,2760
978,2710
979,2705
980,2720
983,2685
984,2735
985,2760
986,2795
987,2820
990,2800
991,2800
992,2765
993,2725
994,2720
997,2685
998,2705
999,2735
a1427952600,2770
5,2775
6,2770
7,2735
8,2725
11,2725
12,2705
13,2780
14,2790
15,2815
18,2980
19,3010
20,3065
21,3165
22,3230
25,3220
26,3220
27,3185
28,3160
32,3190
33,3220
34,3200
35,3165
36,3185
39,3210
40,3170
41,3155
42,3155
43,3155
46,3160
47,3325
48,3350
49,3330
50,3500
53,3485
54,3520
55,3575
